city;rent_t2;rent_t4;rent_m2;buy_m2
PARIS;1401;2410.4;31.13;10564
MARSEILLE;682;1022.4;15.15;3599
LYON;711;1115.2;15.81;5286
TOULOUSE;619;914.4;13.75;3588
NICE;821;1287.2;18.24;5160
NANTES;630;950.4;14;4166
STRASBOURG;643;913.6;14.29;3905
MONTPELLIER;691;953.6;15.36;3846
BORDEAUX;699;1135.2;15.53;4902
RENNES;600;918.4;13.33;4164
LE HAVRE;538;752.8;11.95;2595
REIMS;559;753.6;12.42;2935
LILLE;696;1040;15.46;4208
SAINT ETIENNE;409;610.4;9.09;1270
TOULON;619;871.2;13.75;2740
GRENOBLE;603;859.2;13.39;2679
DIJON;577;768.8;12.82;2808
BREST;490;644;10.88;2264
LE MANS;480;720.8;10.67;1882
CLERMONT FERRAND;551;821.6;12.25;2309
AMIENS;610;910.4;13.55;2734
AIX EN PROVENCE;839;1209.6;18.65;5438
LIMOGES;479;668.8;10.65;1726
NIMES;541;780;12.02;2397
TOURS;555;875.2;12.34;3234
VILLEURBANNE;658;1044;14.63;4000
METZ;530;752;11.77;2518
BESANCON;554;875.2;12.3;2319
PERPIGNAN;514;692;11.43;1704
BOULOGNE BILLANCOURT;1265;1992;28.1;9319
VERSAILLES;1031;1552;22.9;7551
VINCENNES;1301;2048;28.9;9275
ROUEN;597;831.2;13.27;2957
MONTREUIL;549;848;12.2;2362
NANCY;567;856;12.6;2480
LA ROCHELLE;734;1064;16.3;5355
COURBEVOIE;1130;1736;25.1;7280
ANNECY;720;1048;16;5847
ISSY LES MOULINEAUX;1179;1864;26.2;8718
MONTROUGE;1161;1832;25.8;8110
CLICHY;1152;1744;25.6;7657
CAEN;582;778.4;12.93;3127
SAINT OUEN;635;888;14.1;4667
RUEIL MALMAISON;990;1568;22;6945
NEUILLY SUR SEINE;1404;2184;31.2;11651
PUTEAUX;1197;1872;26.6;7846
CANNES;900;1312;20;6092
PANTIN;1004;1544;22.3;6410
SURESNES;1089;1696;24.2;7558
ANGERS;585;1040;13;3617
